REFERENCE
10.30.11.EUR
10.41.06 EURO
11.31.05.EURO
11.37.11.EURO
11.42.12.EURO
12.35.09.EURO
12.41.03.EURO
12.72.02.EURO 1
13.43.02.EURO
13.46.05.EURO
14.63.07.EURO
15.51.12.EURO
15.53.06.EURO
15.00.12.SPAN 1
15.04.05.SPAN 1
15.08.10.SPAN 1
15.16.08.SPAN 1
15.28.11
15.55.09.SPAN
15.59.02.SPAN
15.72.01.SPAN
15.80.11 SPAN
15.84.04.SPAN
15.92.02
16.10.07.SPAN 1
16.02.09.SPAN 1
16.18.05.SPAN 1
16.49.09.SPAN 1
16.83.10.SPAN
17.33.07.SPAN 1
17.41.05.SPAN 1
18.54.04.SPAN
18.95.02.SPAN
10.36.05.EURO
10.37.10.EURO
10.38.03.EURO
10.39.08.EURO
10.45.02.EURO
10.47.12.EURO 1
11.22.10.EURO
11.25.07.EURO
11.29.07.EURO
11.34.08.EURO
11.35.01.EURO
11.39.09.EURO
11.40.02.EURO
11.43.05.EURO
11.44.10.EURO
11.45.03.EURO
11.46.08.EURO 1
11.47.01.EURO 1
11.49.06.EURO 1
11.50.11.EURO 1
12.23.11.EURO [UK11]
12.27.11.EURO [UK11]
12.30.08.EURO
12.34.04.EURO
12.36.02.EURO
12.37.07.EURO
12.40.10.EURO
12.42.08.EURO
12.43.01.EURO
12.44.06.EURO
12.44.11.EURO
12.46.04.EURO
13.29.05.EURO
13.31.02.EURO
13.34.05.EURO
13.36.03.EURO
13.37.08.EURO
13.39.06.EURO
13.41.04.EURO
13.44.07.EURO
13.47.10.EURO 1
13.48.03.EURO 1
14.46.09 [UK11]
14.64.12.EURO
14.65.05.EURO
14.66.10.EURO
14.69.01.EURO
14.70.06.EURO 1
15.23.03.EURO 2
15.49.06 EURO
15.70.10.GER
16.30.10.ITAL 1
16.31.10.GER 1
17.43.07.EURO 2
19.22.01 [UK19]
19.69.12.GER
10.34.07 EURO
12.32.06.EURO
12.39.05.EURO
14.48.04.EURO 1
16.00.06.GER 1
17.10.04.ITAL 2
18.97.04.GER
19.65.07.GER
