REFERENCE,POSITION,ARTIST,TITLE,LENGTH
10.23.01.EURO [UK 11],A3,Michael Jackson,Thriller,3:46
10.23.01.EURO [UK 11],A4,Michael Jackson,Don't Stop ‘Til You Get Enough,4:00
10.23.01.EURO [UK 11],A5,The Jacksons,Show You The Way To Go (Live),3:24
10.23.01.EURO [UK 11],B1,C+C Music Factory,Just A Touch Of Love,4:05
10.23.01.EURO [UK 11],B2,Black Box,Open Your Eyes,3:14
10.23.01.EURO [UK 11],B3,Lisa Stansfield,All Woman,4:53
10.23.01.EURO [UK 11],B4,Prince,Diamonds And Pearls,4:35
10.23.01.EURO [UK 11],B5,Snap!,Colour Of Love,2:59
10.24.04.EURO [UK10],A1,Bruce Springsteen,Human Touch,4:35
10.24.04.EURO [UK10],A2,Clivilles & Cole,Pride (In the Name Of Love),3:40
10.24.04.EURO [UK10],A3,MC Hammer,Do Not Pass Me By,4:47
10.24.04.EURO [UK10],A4,Roxette,Church Of Your Heart,3:18
10.24.04.EURO [UK10],A5,Pearl Jam,Alive,3:39
10.24.04.EURO [UK10],B1,Amy Grant,Good For Me,3:28
10.24.04.EURO [UK10],B2,Tony Hadley,Lost In Your Love,4:07
10.24.04.EURO [UK10],B3,Scorpions,Hit Between the Eyes (Live),4:11
10.24.04.EURO [UK10],B4,Zucchero & Randy Crawford,Diamante,4:36
10.24.04.EURO [UK10],B5,Garland Jeffreys,The Answer,3:29
10.25.07.EURO [UK11],A1,George Michael,Too Funky,3:59
10.25.07.EURO [UK11],A2,Gipsy Kings,Pida Me La,3:22
10.25.07.EURO [UK11],A3,Londonbeat,You Bring On The Sun,3:34
10.25.07.EURO [UK11],A4,Ringo Starr,Weight Of The World,3:51
10.25.07.EURO [UK11],A5,Was (Not Was),Listen Like Thieves,3:21
10.25.07.EURO [UK11],B1,Red Hot Chili Peppers,Suck My Kiss,3:38
10.25.07.EURO [UK11],B2,INXS,Heaven Sent,3:22
10.25.07.EURO [UK11],B3,Rozalla,Love Breakdown,4:06
10.25.07.EURO [UK11],B4,Crowded House,Four Seasons In One Day,2:52
10.25.07.EURO [UK11],B5,Tracy Chapman,Bang Bang Bang,4:25
10.26.10.EURO [UK10],A1,Bruce Springsteen,Leap Of Faith,4:02
10.26.10.EURO [UK10],A2,The Cure,A Letter To Elise,4:14
10.26.10.EURO [UK10],A3,The Black Crowes,Sting Me,3:32
10.26.10.EURO [UK10],A4,Metallica,Wherever I May Roam,3:59
10.26.10.EURO [UK10],A5,Londonbeat,Lover You Send Me Colours,4:03
10.26.10.EURO [UK10],B1,Bob Geldof,My Hippy Angel,3:59
10.26.10.EURO [UK10],B2,Jimmy Nail,Ain't No Doubt,4:00
10.26.10.EURO [UK10],B3,Boy George,The Crying Game,3:25
10.26.10.EURO [UK10],B4,Lindsey Buckingham,Countdown,3:23
10.26.10.EURO [UK10],B5,Julio Iglesias,Y Aunque Te Haga Calor,3:53
10.27.01 EURO,A1,Cher,Take It To The Limit,
10.27.01 EURO,A2,Lisa Stansfield & Barry White,All Around The World,
10.27.01 EURO,A3,Annie Lennox,Keep Young And Beautiful,
10.27.01 EURO,A4,The Who,My Generation,
10.27.01 EURO,A5,The Rolling Stones,Honky Tonk Women,
10.27.01 EURO,B1,The Jimi Hendrix Experience,Purple Haze,
10.27.01 EURO,B2,Elvis Presley,Are You Lonesome Tonight?,
10.27.01 EURO,B3,Stray Cats,(She's) Sexy + 17,
10.27.01 EURO,B4,Buddy Guy,Five Long Years,
10.27.01 EURO,B5,Rod Stewart,You Wear It Well,
10.28.04.EURO,A1,Madonna,Bad Girl,4:05
10.28.04.EURO,A2,Prince & The NPG,The Morning Papers,4:01
10.28.04.EURO,A3,Tasmin Archer,In Your Care,4:03
10.28.04.EURO,A4,K.D. Lang,Constant Craving,3:59
10.28.04.EURO,A5,Sade,Kiss Of Life,3:49
10.28.04.EURO,B1,Annie Lennox,Love Song For A Vampire,4:02
10.28.04.EURO,B2,David Bowie,Jump They Say,4:00
10.28.04.EURO,B3,Paul McCartney,C'mon People,4:06
10.28.04.EURO,B4,Hothouse Flowers,An Emotional Time,3:39
10.28.04.EURO,B5,Bryan Ferry,I Put A Spell On You,4:10
10.29.07.EURO,A1,Snap! feat. Niki Haris,Do You See The Light (Looking For),4:10
10.29.07.EURO,A2,UB40,(I Can't Help) Falling In Love With You,3:25
10.29.07.EURO,A3,Roxette,Almost Unreal,3:48
10.29.07.EURO,A4,David Bowie,Black Tie White Noise,4:11
10.29.07.EURO,A5,Donald Fagen,Tomorrow's Girls,4:13
10.29.07.EURO,B1,OMD,Stand Above Me,3:33
10.29.07.EURO,B2,Neneh Cherry,Buddy X,3:11
10.29.07.EURO,B3,The The,Love Is Stronger Than Death,4:35
10.29.07.EURO,B4,Felix,Stars,3:38
10.29.07.EURO,B5,Leila K.,Ça Plane Pour Moi,3:27
10.30.11.EUR,A1,Pet Shop Boys,Go West,4:23
10.30.11.EUR,A2,Paul Young,Now I Know What Made Otis Blue,3:42
10.30.11.EUR,A3,Crowded House,Distant Sun,3:48
10.30.11.EUR,A4,Gabrielle,Going Nowhere,3:46
10.30.11.EUR,A5,Mr. Big,Wild World,3:30
10.30.11.EUR,B1,Daryl Hall,I'm In A Philly Mood,4:10
10.30.11.EUR,B2,Bryan Adams,Please Forgive Me,5:04
10.30.11.EUR,B3,Take That & Lulu,Re-Light My Fire,3:44
10.30.11.EUR,B4,Oleta Adams,Window Of Hope,3:30
10.30.11.EUR,B5,M People,Moving On Up,3:29
10.31.04.EURO,A1,Bruce Springsteen,Streets Of Philadelphia,2:57
10.31.04.EURO,A2,Level 42,Forever Now,4:07
10.31.04.EURO,A3,Marcella Detroit,I Believe,4:49
10.31.04.EURO,A4,Roxette,Sleeping In My Car,3:34
10.31.04.EURO,A5,The Cranberries,Linger,4:37
10.31.04.EURO,B1,Jimmy Cliff,I Can See Clearly Now (Cool Runnings),3:19
10.31.04.EURO,B2,Dr. Alban,Look Who's Talking,3:19
10.31.04.EURO,B3,Sting,Nothing 'Bout Me,3:13
10.31.04.EURO,B4,Bee Gees,Kiss Of Life,4:07
10.31.04.EURO,B5,Prince,The Most Beautiful Girl In The World,4:57
10.32.09 EURO,A1,The Rolling Stones,Love Is Strong,3:42
10.32.09 EURO,A2,Inner Circle,Games People Play,3:28
10.32.09 EURO,A3,Sophie B. Hawkins,Right Beside You,3:58
10.32.09 EURO,A4,Warren G & Nate Dogg,Regulate,3:30
10.32.09 EURO,A5,Seal,Kiss From A Rose,4:48
10.32.09 EURO,B1,Erasure,Run To The Sun,4:08
